,Player,Career Length,GP,PPG,APG,RPG,FG%,3P%,FT%,PER,Winshares
74,Morris Almond,4,38,3.1,0.3,1.2,38.1,29.2,74.3,7.0,0.0
75,Derrick Alston,2,139,5.4,0.7,3.8,48.9,14.3,48.7,11.7,2.6
76,Rafer Alston,10,671,10.1,4.8,2.8,38.3,35.4,72.9,13.2,32.9
77,Peter Aluma,0,2,1.0,0.0,1.0,50.0,-,-,3.1,0.0
78,Jose Alvarado,0,54,6.1,2.8,1.9,44.6,29.1,67.9,16.4,2.1
79,John Amaechi,7,294,6.2,0.8,2.6,40.3,7.7,67.1,8.9,0.5
80,Ashraf Amaya,1,85,4.5,0.4,4.2,45.5,50.0,63.3,11.5,1.9
81,Al-Farouq Aminu,10,711,7.5,1.2,6.0,42.0,33.2,74.6,12.2,27.6
82,Lou Amundson,9,428,3.7,0.4,3.6,47.4,0.0,44.4,12.0,6.9
83,Bob Anderegg,0,33,4.0,0.9,2.1,38.5,-1,54.8,9.3,0.0
84,Chris Andersen,15,695,5.4,0.5,5.0,53.2,22.1,65.4,16.7,39.7
85,David Andersen,1,140,12.2,1.1,9.4,48.1,-,72.7,17.5,10.9
86,Alan Anderson,11,330,7.3,1.1,2.2,40.5,34.4,81.6,10.3,7.4
87,Andrew Anderson,2,194,10.7,1.7,2.7,41.0,15.9,75.5,10.9,3.5
88,Antonio Anderson,0,194,10.7,1.7,2.7,41.0,15.9,75.5,10.9,3.5
89,Cliff Anderson,3,84,3.0,0.9,1.3,35.4,-,58.5,10.6,0.3
90,Dan Anderson,1,140,12.2,1.1,9.4,48.1,-,72.7,17.5,10.9
91,Dan Anderson,1,140,12.2,1.1,9.4,48.1,-,72.7,17.5,10.9
92,Derek Anderson,10,615,12.0,3.4,3.2,40.8,34.1,85.3,15.3,43.9
93,Dwight Anderson,0,5,4.2,0.6,0.4,50.0,-,70.0,10.6,0.0
94,Eric Anderson,1,27,1.6,0.2,1.1,34.3,100.0,59.3,13.1,0.2
95,Greg Anderson,10,680,7.3,0.6,6.2,49.2,8.7,55.7,13.0,18.7
96,J.J. Anderson,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
97,James Anderson,5,247,5.8,1.2,2.3,41.1,32.1,75.5,9.9,3.3
98,Jerome Anderson,1,49,2.6,0.3,0.5,49.0,-1,69.4,11.4,0.4
99,Justin Anderson,6,242,5.3,0.8,2.6,41.0,29.2,77.5,12.4,4.9
100,Kenny Anderson,13,858,12.6,6.1,3.1,42.1,34.6,79.0,16.4,62.5
101,Kim Anderson,0,21,3.0,0.7,2.1,31.2,-1,53.6,3.0,-0.4
102,Kyle Anderson,7,505,6.7,2.3,4.4,47.6,33.4,71.1,14.2,27.0
103,Michael Anderson,0,36,5.7,4.3,2.5,41.7,14.3,69.5,10.5,0.2
104,Nick Anderson,12,800,14.4,2.6,5.1,44.6,35.6,66.7,15.8,55.3
105,Richard Anderson,7,407,5.6,1.5,3.5,41.2,33.3,76.2,12.3,7.6
106,Ron Anderson,9,664,10.6,1.4,3.5,47.1,28.7,81.4,14.3,24.2
107,Ryan Anderson,11,649,12.3,0.9,5.3,42.2,38.0,85.4,16.5,46.7
108,Shandon Anderson,9,719,7.4,1.4,3.1,45.7,31.6,73.9,11.7,23.6
109,Willie Anderson,8,555,12.2,3.8,3.8,47.1,26.6,78.6,13.8,27.9
110,Wally Anderzunas,0,44,3.6,0.2,1.9,39.2,-1,63.0,8.8,-0.2
111,Martynas Andriuškevičius,0,6,0.0,0.0,0.7,0.0,-,-,15.5,0.0
112,Don Anielak,0,1,3.0,0.0,2.0,0.0,-1,75.0,1.8,-0.1
113,Ike Anigbogu,1,14,0.9,0.1,0.9,33.3,-,83.3,17.0,0.0
114,Michael Ansley,2,149,6.9,0.4,4.2,51.3,-,72.2,17.0,6.4
115,Chris Anstey,2,155,5.2,0.8,3.4,41.3,13.8,75.5,13.2,2.8
116,Giannis Antetokounmpo,8,656,21.8,4.6,9.4,53.5,28.8,71.8,24.5,87.5
