,Player,Career Length,GP,PPG,APG,RPG,FG%,3P%,FT%,PER,Winshares
3753,Eric Riley,5,186,3.1,0.3,2.6,45.6,0.0,70.4,12.5,2.5
3754,Pat Riley,8,528,7.4,1.7,1.6,41.4,-1,70.5,11.3,4.5
3755,Ron Riley,3,264,5.8,1.2,5.2,41.9,-1,69.1,11.3,2.5
3756,Grant Riller,0,7,2.6,0.4,0.1,66.7,50.0,-,23.6,0.1
3757,Rich Rinaldi,2,84,4.8,0.9,1.2,38.9,0.0,73.5,11.5,0.3
3758,Mike Riordan,8,639,9.9,2.4,2.9,47.0,-1,74.4,12.3,33.2
3759,Arnie Risen,9,637,12.0,1.7,9.7,38.1,-1,69.9,16.7,56.0
3760,Tex Ritter,2,151,5.2,1.0,1.9,34.8,-1,67.4,-,5.7
3761,Ramón Rivas,0,28,1.4,0.1,0.9,38.7,0.0,64.0,9.3,0.0
3762,Austin Rivers,9,655,8.8,2.2,2.1,41.8,34.9,64.9,9.9,13.9
3763,David Rivers,3,114,3.4,2.5,1.3,39.8,8.3,79.4,9.7,-0.3
3764,Doc Rivers,12,864,10.9,5.7,3.0,44.4,32.8,78.4,16.6,68.2
3765,Lee Robbins,1,47,4.8,0.4,-,28.4,-1,56.4,-,0.2
3766,Red Robbins,7,586,13.1,1.7,10.5,46.6,30.5,81.8,18.0,50.4
3767,Andre Roberson,7,213,7.8,1.2,3.9,41.2,0.0,69.9,10.7,3.3
3768,Anthony Roberson,3,213,7.8,1.2,3.9,41.2,0.0,69.9,10.7,3.3
3769,Rick Roberson,6,423,9.0,1.4,8.3,44.0,-1,58.5,13.2,14.6
3770,Terrance Roberson,0,3,0.0,0.3,0.3,0.0,0.0,-,-15.0,-0.1
3771,Anthony Roberts,6,213,7.8,1.2,3.9,41.2,0.0,69.9,10.7,3.3
3772,Bill Roberts,1,117,3.5,0.6,-,33.9,-1,70.6,-,0.9
3773,Brian Roberts,4,314,6.6,2.3,1.3,41.1,35.6,90.8,13.0,7.4
3774,Fred Roberts,13,818,7.3,1.2,2.8,50.2,32.5,79.6,12.6,26.2
3775,Joe Roberts,7,218,5.8,0.6,4.9,38.1,33.3,63.7,9.7,2.4
3776,Lawrence Roberts,1,87,3.8,0.4,3.6,45.2,0.0,68.8,13.5,2.5
3777,Marv Roberts,5,402,8.3,1.3,3.9,43.3,33.3,77.3,12.3,11.4
3778,Stanley Roberts,8,300,8.5,0.6,5.2,49.9,0.0,51.4,13.6,8.1
3779,Alvin Robertson,11,779,14.0,5.0,5.2,47.7,29.5,74.3,17.0,52.1
3780,Oscar Robertson,13,1040,25.7,9.5,7.5,48.5,-1,83.8,23.2,189.2
3781,Ryan Robertson,0,1,5.0,0.0,0.0,33.3,0.0,100.0,2.6,0.0
3782,Tony Robertson,1,75,5.5,1.4,1.1,43.5,-1,69.4,10.6,0.4
3783,Rick Robey,7,493,7.6,1.2,4.7,50.1,12.5,65.0,12.8,15.8
3784,Bernard Robinson,2,128,4.5,1.0,2.5,41.7,16.1,78.6,11.0,2.0
3785,Chris Robinson,1,76,4.6,1.4,1.5,37.6,37.4,57.1,9.3,-0.1
3786,Cliff Robinson,12,629,17.2,2.0,8.3,46.8,18.4,72.2,17.0,30.5
3787,Clifford Robinson,17,629,17.2,2.0,8.3,46.8,18.4,72.2,17.0,30.5
3788,David Robinson,13,987,21.1,2.5,10.6,51.8,25.0,73.6,26.2,178.7
3789,Devin Robinson,1,8,6.1,0.8,3.1,57.1,0.0,64.3,19.4,0.4
3790,Duncan Robinson,3,239,11.9,1.5,2.9,43.5,40.6,86.0,11.5,13.1
3791,Eddie Robinson,4,278,7.0,0.9,2.7,50.7,25.0,73.9,14.0,10.2
3792,Flynn Robinson,7,543,14.0,3.0,2.5,45.6,26.7,84.6,17.5,32.6
3793,Glenn Robinson,10,688,20.7,2.7,6.1,45.9,34.0,82.0,17.5,39.8
3794,Glenn Robinson III,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
3795,Jackie Robinson,3,22,3.8,0.6,1.2,46.3,0.0,70.0,13.7,0.3
3796,Jamal Robinson,0,22,3.8,0.6,1.2,46.3,0.0,70.0,13.7,0.3
3797,James Robinson,7,22,3.8,0.6,1.2,46.3,0.0,70.0,13.7,0.3
3798,Jerome Robinson,2,113,4.5,1.2,1.8,36.3,31.0,72.1,6.7,-0.1
3799,Justin Robinson,2,43,2.6,1.1,0.8,31.7,31.3,53.8,4.6,-0.3
3800,Larry Robinson,11,89,4.5,0.9,1.9,38.4,37.3,66.7,10.3,0.9
3801,Mitchell Robinson,3,230,8.4,0.6,7.5,72.2,-,54.0,21.3,24.8
3802,Nate Robinson,10,618,11.0,3.0,2.3,42.3,36.0,79.6,15.6,27.8
3803,Oliver Robinson,0,35,2.9,0.6,0.5,36.1,9.1,66.7,14.1,0.1
3804,Ronnie Robinson,1,72,6.1,0.7,4.3,44.4,0.0,67.1,10.8,0.8
3805,Rumeal Robinson,6,336,7.6,3.5,1.8,43.2,34.4,61.1,12.9,5.2
3806,Samuel Robinson,1,134,9.1,1.2,4.1,44.4,19.0,77.7,12.8,1.9
3807,Thomas Robinson,4,313,4.9,0.6,4.8,47.0,0.0,50.5,14.0,4.6
3808,Truck Robinson,10,772,15.5,1.7,9.4,48.3,100.0,66.2,14.9,52.7
3809,Wayne Robinson,0,81,7.9,1.4,3.6,46.0,0.0,72.9,11.5,1.7
3810,Wilbert Robinson,0,45,8.6,2.9,1.8,41.3,0.0,85.1,10.8,-0.1
3811,Jeremiah Robinson-Earl,0,113,4.5,1.2,1.8,36.3,31.0,72.1,6.7,-0.1
3812,Bill Robinzine,6,529,10.5,1.1,6.1,48.2,25.0,74.9,14.9,23.3
3813,Dave Robisch,12,930,11.4,1.8,6.6,46.4,0.0,79.8,16.6,64.2
3814,Isaiah Roby,2,109,9.1,1.6,5.1,49.5,36.5,70.8,14.4,4.1
3815,Red Rocha,9,586,10.9,2.0,6.6,37.0,-1,75.9,13.4,47.9
3816,John Roche,10,479,11.2,3.9,1.5,46.9,35.5,79.2,12.6,19.8
3817,Gene Rock,0,11,0.9,0.0,-,22.2,-1,50.0,-,0.0
3818,Jack Rocker,0,9,1.9,0.3,-,36.4,-1,100.0,-,0.2
3819,Guy Rodgers,11,892,11.7,7.8,4.3,37.8,-1,72.1,13.6,33.3
3820,Dennis Rodman,13,911,7.3,1.8,13.1,52.1,23.1,58.4,14.6,89.8
3821,Sergio Rodríguez,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
3822,Lou Roe,1,66,2.0,0.3,1.4,33.3,25.0,64.7,7.7,0.0
3823,Carlos Rogers,7,298,7.4,0.6,4.3,53.6,25.8,56.2,15.4,11.1
3824,Harry Rogers,0,18,7.6,0.8,5.3,48.4,0.0,70.8,16.2,0.7
3825,Johnny Rogers,1,69,3.6,0.4,1.5,47.2,0.0,67.9,9.7,0.4
3826,Marshall Rogers,0,26,3.8,0.4,0.4,37.1,-1,93.3,9.8,-0.2
3827,Rodney Rogers,11,866,10.9,2.0,4.5,45.1,34.7,69.0,14.4,38.8
3828,Roy Rogers,3,866,10.9,2.0,4.5,45.1,34.7,69.0,14.4,38.8
3829,Willie Rogers,0,40,2.1,0.4,1.2,33.8,0.0,59.6,3.1,0.0
3830,Al Roges,1,84,7.5,2.1,2.8,36.0,-1,71.4,9.8,0.8
3831,Ken Rohloff,0,2,0.0,0.5,0.0,0.0,-1,-,-9.6,0.0
3832,Kenny Rollins,4,168,4.9,2.0,1.0,30.9,-1,75.0,7.9,4.2
3833,Phil Rollins,2,177,5.1,2.6,2.2,38.5,-1,64.9,11.2,1.9
3834,Tree Rollins,17,1156,5.4,0.6,5.8,52.2,0.0,70.0,13.6,63.9
3835,Lorenzo Romar,4,291,5.9,3.5,1.3,46.4,21.1,74.9,13.0,8.0
3836,Rajon Rondo,15,957,9.8,7.9,4.5,45.6,32.4,61.1,15.8,61.8
3837,Jerry Rook,0,28,3.0,0.4,1.1,45.1,0.0,84.6,14.4,0.3
3838,Sean Rooks,11,749,6.2,0.8,3.8,45.9,9.1,69.9,12.0,16.2
3839,Derrick Rose,13,672,18.2,5.4,3.3,45.7,31.6,83.0,18.2,44.2
3840,Jalen Rose,12,923,14.3,3.8,3.5,44.3,35.5,80.1,15.3,47.2
3841,Malik Rose,12,813,6.2,0.8,4.1,43.7,17.7,74.3,13.4,26.5
3842,Rob Rose,0,2,0.0,0.0,1.0,0.0,-,-,5.0,0.0
3843,Petey Rosenberg,0,51,2.9,0.5,-,20.9,-1,61.2,-,-0.4
3844,Lennie Rosenbluth,1,82,4.2,0.4,1.8,32.7,-1,65.5,12.4,-0.7
3845,Hank Rosenstein,0,60,6.4,0.6,-,30.5,-1,64.0,-,4.6
3846,Dick Rosenthal,2,85,6.8,2.0,4.1,36.2,-1,70.2,13.2,1.9
3847,Quinton Ross,6,458,4.1,0.9,2.1,41.9,31.8,71.1,7.8,7.7
3848,Terrence Ross,9,670,11.2,1.3,2.8,41.7,36.1,83.9,12.6,23.4
3849,Doug Roth,0,42,1.9,0.5,2.9,43.0,0.0,50.0,8.2,0.4
3850,Scott Roth,2,160,4.7,1.2,1.3,37.5,29.1,73.0,10.3,1.1
3851,Irv Rothenberg,2,131,5.4,0.7,-,26.7,-1,60.6,-,3.6
3852,Mickey Rottner,1,100,5.4,1.4,-,29.0,-1,47.8,-,3.7
3853,Dan Roundfield,11,813,14.3,2.0,9.2,48.2,11.1,73.5,17.9,66.5
3854,Giff Roux,2,151,4.1,0.3,-,28.0,-1,51.1,-,3.8
3855,Ron Rowan,0,7,1.7,0.1,0.1,44.4,100.0,75.0,22.2,0.0
3856,Curtis Rowe,7,590,11.6,1.6,7.2,48.2,-1,70.1,12.9,34.1
3857,Jim Rowinski,1,23,2.5,0.2,1.5,41.7,-,84.4,13.8,0.3
3858,Derrick Rowland,0,2,1.5,0.5,0.5,33.3,-,50.0,7.0,0.0
3859,Brian Rowsom,2,82,5.6,0.6,3.3,45.5,66.7,81.8,14.5,2.4
3860,Brandon Roy,6,326,18.8,4.7,4.3,45.9,34.8,80.0,20.0,37.4
3861,Donald Royal,8,504,6.3,1.0,2.8,47.3,0.0,77.0,12.8,19.1
3862,Reggie Royals,0,2,2.0,0.0,0.0,50.0,-,-,6.5,0.0
3863,Bob Royer,0,42,4.7,2.0,-,33.8,-1,70.7,-,0.0
3864,Clifford Rozier,3,173,4.8,0.6,5.2,49.6,18.2,46.5,11.9,3.9
3865,Terry Rozier,6,477,12.7,3.2,3.9,41.7,37.6,82.2,14.9,24.0
3866,Ricky Rubio,10,665,11.1,7.6,4.2,38.9,32.6,84.3,15.6,41.6
3867,Guy Rucker,0,3,0.0,0.3,0.3,-,-,-,7.8,0.0
3868,Delaney Rudd,3,239,3.4,2.2,0.8,41.3,25.7,76.1,9.8,0.7
3869,John Rudd,0,58,3.2,0.6,2.9,44.4,-1,71.0,8.2,0.6
3870,Damjan Rudež,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
3871,John Rudometkin,2,131,6.3,0.5,3.1,39.9,-1,74.3,13.3,1.0
3872,Michael Ruffin,9,414,1.7,0.6,3.9,40.7,0.0,45.9,8.5,6.8
3873,Trevor Ruffin,1,110,9.2,2.9,1.4,41.1,37.1,79.5,14.9,1.3
3874,Paul Ruffner,5,133,4.2,0.5,3.0,47.1,-,68.8,13.6,1.0
3875,Joe Ruklick,2,114,3.5,0.4,2.5,36.6,-1,61.3,9.3,0.0
3876,Jeff Ruland,11,332,17.4,3.0,10.2,56.4,15.8,71.8,18.7,34.3
3877,Bob Rule,7,403,17.4,1.5,8.3,46.1,-1,68.6,16.6,22.7
3878,Jerry Rullo,3,95,2.9,0.7,-,29.2,-1,59.1,-,2.0
3879,Stefano Rusconi,0,7,1.1,0.4,0.9,33.3,-,40.0,2.4,-0.1
3880,Brandon Rush,8,481,6.8,1.0,2.9,42.6,40.2,70.6,9.9,11.2
3881,Kareem Rush,7,346,6.4,1.0,1.7,40.0,35.8,70.3,9.2,1.7
3882,Bill Russell,12,963,15.1,4.3,22.5,44.0,-1,56.1,18.9,163.5
3883,Bryon Russell,12,841,7.9,1.3,3.5,43.1,36.9,75.0,12.6,47.4
3884,Campy Russell,10,817,15.1,2.2,3.8,46.4,-1,82.7,15.8,51.7
3885,Cazzie Russell,11,817,15.1,2.2,3.8,46.4,-1,82.7,15.8,51.7
3886,D'Angelo Russell,6,424,17.7,5.6,3.5,42.0,35.6,78.1,16.5,14.4
3887,Frank Russell,0,23,3.2,0.7,0.7,37.7,-1,88.9,14.5,0.1
3888,Pierre Russell,1,110,4.0,1.0,2.0,43.9,10.0,65.7,13.0,1.5
3889,Rubin Russell,0,26,5.4,0.3,2.0,35.4,18.2,61.0,6.1,-0.3
3890,Walker Russell,5,155,3.0,2.3,1.2,39.3,15.8,80.0,7.5,-0.7
3891,Walker Russell,0,155,3.0,2.3,1.2,39.3,15.8,80.0,7.5,-0.7
3892,Matt Ryan,0,1,3.0,0.0,0.0,20.0,20.0,-,3.5,0.0
3893,Arvydas Sabonis,7,470,12.0,2.1,7.3,50.0,32.8,78.6,21.2,47.3
3894,Domantas Sabonis,5,415,14.4,3.6,9.2,53.4,31.9,72.8,18.7,34.6
3895,Robert Sacre,3,189,4.2,0.7,3.1,43.6,0.0,67.1,10.8,2.4
3896,Ed Sadowski,3,229,15.6,1.8,-,35.4,-1,69.7,-,36.2
3897,Kenny Sailors,4,276,12.6,2.8,2.0,32.9,-1,71.2,-,17.1
3898,John Salley,13,748,7.0,1.2,4.5,50.6,21.4,71.4,12.8,41.5
3899,John Salmons,12,895,9.3,2.4,2.9,43.1,36.6,79.9,12.1,33.9
3900,Al Salvadori,0,17,3.2,0.2,2.7,36.2,100.0,68.8,6.0,-0.1
3901,Kevin Salvadori,1,39,1.1,0.3,1.2,28.3,-,66.7,6.1,-0.2
3902,Soumaila Samake,2,47,1.4,0.1,1.6,38.9,-,46.2,10.0,0.3
3903,Luka Šamanić,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3904,Cheikh Samb,1,22,1.0,0.0,1.4,25.0,0.0,44.4,7.1,-0.1
3905,Brandon Sampson,0,14,5.1,0.7,1.1,46.7,37.9,66.7,8.5,0.0
3906,JaKarr Sampson,6,72,2.0,0.4,3.4,49.1,0.0,53.7,13.0,1.4
3907,Jamal Sampson,4,72,2.0,0.4,3.4,49.1,0.0,53.7,13.0,1.4
3908,Ralph Sampson,8,456,15.4,2.3,8.8,48.6,17.2,66.1,16.0,20.1
3909,Samardo Samuels,2,109,5.9,0.4,3.4,44.5,0.0,65.3,10.8,0.6
3910,Pepe Sánchez,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
3911,Al Sanders,0,4,2.0,0.0,1.3,100.0,-,66.7,6.6,0.1
3912,Frankie Sanders,2,69,5.1,1.0,1.9,43.0,-,82.2,13.6,0.5
3913,Jeff Sanders,3,55,2.0,0.5,1.9,39.5,-,60.9,7.1,-0.1
3914,Larry Sanders,6,238,6.4,0.7,5.7,48.0,0.0,55.3,15.4,10.3
3915,Melvin Sanders,0,16,2.6,0.2,1.4,48.5,66.7,70.0,10.5,0.2
3916,Mike Sanders,10,648,8.0,1.4,3.0,48.2,22.1,76.9,11.9,17.9
3917,Tom Sanders,12,916,9.6,1.1,6.3,42.8,-1,76.7,11.9,56.5
3918,Ron Sanford,0,1,0.0,0.0,0.0,-,-,-,-10.4,0.0
3919,Daniel Santiago,4,122,3.4,0.3,2.1,46.9,-,68.5,9.3,1.9
3920,Bob Santini,0,4,2.8,0.3,0.8,50.0,-1,50.0,12.7,0.1
3921,Wayne Sappleton,0,33,2.9,0.2,2.3,47.1,-,41.2,7.7,0.1
3922,Dario Šarić,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
3923,Olivier Sarr,0,22,7.0,0.9,4.2,57.4,44.8,82.8,14.0,1.0
3924,Jason Sasser,2,14,2.1,0.3,1.1,41.2,33.3,50.0,7.6,0.0
3925,Jeryl Sasser,1,82,2.5,0.8,2.3,30.3,29.5,68.7,8.3,0.7
3926,Tomáš Satoranský,5,388,6.9,4.1,2.9,46.8,35.4,82.0,13.3,17.9
3927,Kenny Satterfield,1,75,4.3,2.3,1.3,33.5,21.8,74.6,8.3,-1.1
3928,Pep Saul,5,384,5.6,1.6,2.0,36.0,-1,73.9,10.5,12.7
3929,Woody Sauldsberry,8,462,10.7,1.1,7.8,34.8,-1,61.0,8.9,-10.7
3930,Glynn Saulters,0,22,2.7,0.5,0.9,31.4,0.0,68.2,5.7,-0.2
3931,Fred Saunders,3,210,5.3,1.1,3.0,44.3,-1,68.2,11.4,3.1
3932,Don Savage,5,17,3.2,0.8,1.8,24.2,-1,68.6,7.2,-0.1
3933,Predrag Savović,0,27,3.1,0.8,0.9,31.2,15.4,72.4,6.0,-0.2
3934,Alan Sawyer,0,33,6.6,0.8,3.7,37.0,-1,86.0,-,0.9
3935,Brian Scalabrine,10,520,3.1,0.8,2.0,39.0,34.4,78.3,7.7,7.6
3936,Alex Scales,0,1,0.0,0.0,0.0,-,-,-,-,0.0
3937,DeWayne Scales,3,49,4.6,0.2,2.9,41.7,16.7,62.8,10.9,0.2
3938,Frank Schade,0,9,1.1,1.1,0.7,28.6,-1,100.0,5.8,0.0
3939,Ben Schadler,0,37,1.5,0.2,-,19.8,-1,76.9,-,-0.5
3940,Herm Schaefer,1,123,7.6,3.2,-,37.9,-1,82.8,-,12.2
3941,Billy Schaeffer,2,137,5.9,0.7,2.1,47.2,23.1,73.2,12.1,3.1
3942,Bob Schafer,1,65,4.2,1.0,1.3,29.8,-1,77.7,7.0,-0.7
3943,Jordan Schakel,0,4,1.3,0.0,2.0,9.1,16.7,100.0,-1.2,-0.1
3944,Ben Scharnus,2,52,2.0,0.4,-,19.9,-1,61.7,-,-0.1
3945,Marv Schatzman,0,34,3.4,1.1,-,24.7,-1,58.0,-,-0.9
3946,Fred Schaus,4,334,12.2,2.9,6.0,35.2,-1,82.3,14.8,31.4
3947,Danny Schayes,17,1138,7.7,1.1,5.0,48.1,13.3,80.6,13.4,48.8
3948,Dolph Schayes,14,996,18.5,3.1,12.1,38.0,-1,84.9,22.1,142.4
3949,Ossie Schectman,0,54,8.1,2.0,-,27.6,-1,62.0,-,4.3
3950,Steve Scheffler,6,174,1.9,0.1,1.0,55.8,20.0,75.9,13.5,2.9
3951,Tom Scheffler,0,39,1.3,0.3,1.9,41.2,-,50.0,6.9,0.2
3952,Dave Schellhase,1,73,2.8,0.8,1.0,34.9,-1,56.7,8.6,-0.6
3953,Luke Schenscher,1,31,1.8,0.3,1.7,46.9,-,45.0,6.9,0.3
3954,Herb Scherer,1,32,3.6,0.7,2.4,28.9,-1,59.2,3.9,-0.4
3955,Dwayne Schintzius,8,217,2.7,0.4,2.5,40.4,12.5,63.8,9.4,1.0
3956,Dale Schlueter,9,586,5.3,1.6,5.2,49.7,-1,67.8,13.7,20.8
3957,Otto Schnellbacher,0,43,6.4,1.5,-,33.2,-1,66.9,-,1.2
3958,Dick Schnittker,7,364,8.3,1.3,3.8,37.9,-1,82.5,13.9,22.0
3959,Russ Schoene,6,290,5.1,0.6,2.5,43.5,33.5,75.1,11.1,4.5
3960,Admiral Schofield,2,71,3.5,0.6,1.9,40.3,32.1,73.3,6.9,0.4
3961,Dave Scholz,0,1,2.0,0.0,0.0,100.0,-1,-,67.6,0.0
3962,Milt Schoon,3,103,6.0,0.9,-,34.2,-1,60.5,-,4.4
3963,Detlef Schrempf,15,1136,13.9,3.4,6.2,49.1,38.4,80.3,17.2,109.5
3964,Dennis Schröder,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
3965,Howie Schultz,3,173,5.3,1.7,3.1,27.1,-1,71.1,8.0,5.6
3966,Dick Schulz,3,205,5.6,1.0,-,25.9,-1,71.9,-,4.3
3967,Roger Schurig,0,21,4.8,0.9,1.4,37.2,37.5,75.0,7.6,0.3
3968,John Schweitz,2,22,2.6,0.8,1.0,33.3,0.0,70.0,4.2,-0.5
3969,Luis Scola,9,743,12.0,1.6,6.7,49.3,33.9,74.0,16.3,45.7
3970,Fred Scolari,8,534,11.3,2.6,2.7,32.1,-1,81.8,13.3,33.5
3971,Alvin Scott,7,627,4.9,1.4,3.2,48.1,20.0,73.3,11.3,23.0
3972,Brent Scott,0,16,1.2,0.2,0.6,47.1,-,50.0,7.0,0.0
3973,Byron Scott,13,1073,14.1,2.5,2.8,48.2,37.0,83.3,15.5,75.2
3974,Charlie Scott,9,717,20.7,4.9,4.0,44.8,25.3,77.3,15.8,41.4
3975,Dennis Scott,9,629,12.9,2.1,2.8,41.7,39.7,79.3,13.4,33.4
3976,James Scott,0,8,0.1,0.4,0.8,0.0,0.0,50.0,-4.1,-0.1
3977,Mike Scott,8,555,6.7,0.9,3.1,45.3,36.2,75.7,12.3,16.8
3978,Ray Scott,10,811,14.3,2.2,9.8,40.9,60.0,72.7,15.9,34.7
3979,Shawnelle Scott,5,105,1.8,0.2,2.2,46.4,-,46.5,13.1,1.3
3980,Tre Scott,0,2,3.0,0.0,1.0,50.0,0.0,-,20.4,0.0
3981,Willie Scott,0,8,1.6,0.3,0.5,40.0,-,16.7,-7.1,-0.1
3982,Paul Scranton,0,5,1.8,0.2,3.2,44.4,-,25.0,10.6,0.0
3983,Jay Scrubb,1,22,3.8,0.4,1.4,39.0,26.7,80.0,8.0,-0.1
3984,Carey Scurry,2,180,4.7,1.1,2.9,48.0,25.0,66.6,14.1,5.3
3985,Bruce Seals,4,348,8.9,1.0,4.2,42.3,20.4,67.2,11.5,7.8
3986,Shea Seals,0,4,1.0,0.0,1.0,12.5,0.0,50.0,4.9,-0.1
3987,Malik Sealy,7,493,10.1,1.7,3.2,42.6,29.2,80.9,13.6,17.1
3988,Ed Searcy,0,4,1.5,0.3,0.0,33.3,-1,100.0,5.6,0.0
3989,Kenny Sears,8,529,13.9,1.6,7.8,45.5,-1,82.6,18.5,55.8
3990,Wayne See,0,61,5.2,2.3,-,37.3,-1,69.6,-,1.6
3991,Thabo Sefolosha,13,869,5.7,1.4,3.7,44.9,34.9,73.2,11.4,39.3
3992,Rony Seikaly,10,678,14.7,1.3,9.5,48.4,18.8,67.9,15.7,37.3
3993,Glen Selbo,0,13,3.2,1.8,-,19.6,-1,75.9,-,-0.2
3994,Josh Selby,1,38,2.2,0.9,0.5,33.0,14.3,72.0,2.7,-0.7
3995,Wayne Selden,5,127,7.2,1.5,2.0,41.5,34.4,71.8,9.1,0.2
3996,Brad Sellers,6,398,6.3,1.1,2.7,45.2,20.0,79.3,11.1,9.8
3997,Phil Sellers,0,44,4.5,0.6,0.9,38.4,-1,72.2,14.0,0.0
3998,Rollie Seltz,0,34,7.8,1.9,-,30.1,-1,76.9,-,1.8
3999,Lester Selvage,2,82,13.5,3.1,2.7,35.4,31.6,74.1,10.6,2.3
4000,Frank Selvy,9,565,10.8,2.8,3.7,39.4,-1,72.8,12.4,23.8
4001,Jim Seminoff,3,231,6.5,2.7,-,30.8,-1,68.1,-,16.9
4002,Mouhamed Sene,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
4003,George Senesky,7,482,7.2,3.2,3.5,31.3,-1,70.2,10.4,21.8
4004,Alperen Şengün,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
4005,Kevin Séraphin,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
4006,Ansu Sesay,3,127,3.2,0.5,1.8,43.4,27.6,64.0,11.1,1.4
4007,Ramon Sessions,10,691,10.3,4.1,2.7,43.4,31.6,79.1,15.9,28.8
4008,Ha Seung-Jin,1,46,1.5,0.1,1.5,51.9,-,50.0,5.4,-0.2
4009,Tom Sewell,0,21,1.0,0.3,0.2,25.0,0.0,50.0,-2.7,-0.4
4010,Collin Sexton,3,218,20.0,3.3,3.0,45.8,37.8,82.7,15.0,5.4
4011,Paul Seymour,12,622,9.4,3.8,3.1,35.0,-1,79.2,13.9,37.5
4012,Nick Shaback,0,53,4.6,0.5,-,26.5,-1,71.7,-,0.3
4013,Lynn Shackelford,0,22,2.6,0.5,1.2,30.6,30.8,76.9,4.7,-0.3
4014,Charles Shackleford,10,303,5.4,0.6,4.8,48.3,0.0,65.4,13.1,7.3
4015,Carl Shaeffer,1,53,3.1,0.9,1.0,35.7,-1,58.3,-,0.8
4016,Lee Shaffer,2,196,16.8,1.2,6.3,42.0,-1,77.6,14.6,8.2
4017,Mustafa Shakur,3,25,2.1,1.2,0.9,33.9,9.1,52.9,5.8,-0.5
4018,Landry Shamet,3,262,9.0,1.6,1.8,41.0,39.0,83.5,10.0,10.6
4019,God Shammgod,0,20,3.1,1.8,0.4,32.8,0.0,76.7,9.2,-0.1
4020,Earl Shannon,2,134,8.6,1.3,-,30.5,-1,59.8,-,7.6
4021,Howie Shannon,1,122,10.8,2.5,-,35.5,-1,79.5,-,6.3
4022,Chuck Share,8,596,8.3,1.4,8.4,40.0,-1,69.3,17.7,42.0
4023,Bill Sharman,10,711,17.8,3.0,3.9,42.6,-1,88.3,18.3,82.8
4024,Day'Ron Sharpe,0,32,6.2,0.5,5.0,57.7,28.6,58.5,20.7,1.2
4025,Walter Sharpe,0,8,1.0,0.0,0.4,36.4,0.0,0.0,4.8,-0.1
4026,John Shasky,2,136,3.8,0.3,2.8,46.6,0.0,65.5,11.8,2.5
4027,Ron Shavlik,1,8,1.3,0.0,2.9,17.4,-1,40.0,-1.1,-0.3
4028,Brian Shaw,14,943,6.9,4.2,3.4,40.3,30.4,78.2,11.7,23.8
4029,Casey Shaw,0,9,0.2,0.0,0.3,12.5,-,-,-14.9,-0.1
4030,Marial Shayok,0,4,2.8,0.3,1.8,25.0,33.3,75.0,1.4,-0.1
4031,Bob Shea,0,43,2.2,0.1,-,24.2,-1,57.6,-,-0.4
4032,Fred Sheffield,0,22,3.4,0.2,-,19.9,-1,61.5,-,-0.5
4033,Craig Shelton,1,59,4.1,0.5,2.4,45.3,0.0,60.0,8.7,0.0
4034,Lonnie Shelton,9,673,12.0,2.2,6.1,49.2,9.7,73.8,14.2,37.5
4035,Tornike Shengelia,1,45,1.3,0.4,0.9,45.1,12.5,50.0,5.7,-0.2
4036,Billy Shepherd,2,169,5.7,3.9,1.1,38.7,35.7,69.6,12.1,2.8
4037,Jeff Sheppard,0,18,2.2,0.9,1.2,38.5,28.6,61.5,8.7,0.3
4038,Steve Sheppard,1,106,3.5,0.6,1.7,45.9,-1,63.3,10.8,0.9
4039,Ed Sherod,0,64,6.2,4.9,2.3,40.6,7.7,65.0,11.4,2.5
4040,Charley Shipp,0,23,4.7,2.0,-,25.5,-1,72.5,-,-0.6
4041,Paul Shirley,2,18,1.8,0.4,1.1,39.5,0.0,42.9,4.5,-0.2
4042,Gene Short,0,34,2.5,0.3,1.4,35.2,-1,62.5,9.8,-0.1
4043,Purvis Short,11,842,17.3,2.5,4.3,47.4,28.2,82.4,16.9,51.1
4044,Dexter Shouse,0,3,0.0,0.7,0.0,0.0,0.0,-,-6.8,-0.1
4045,Dick Shrider,0,4,0.3,0.5,-,-,-1,33.3,-,0.0
4046,Gene Shue,9,699,14.4,3.7,4.1,39.6,-1,80.6,13.7,38.9
4047,John Shumate,5,318,12.3,1.8,7.5,51.6,0.0,72.0,15.9,24.5
4048,Iman Shumpert,9,461,7.2,1.8,3.3,39.1,33.7,76.4,9.7,12.9
4049,Alexey Shved,2,182,7.4,2.5,2.0,36.9,30.6,76.2,12.8,3.1
4050,Pascal Siakam,5,400,15.7,3.1,6.3,48.9,32.8,77.4,17.6,33.3
4051,Jordan Sibert,0,1,3.0,0.0,0.0,100.0,100.0,-,29.7,0.0
4052,Sam Sibert,0,5,2.4,0.0,0.8,30.8,-1,80.0,6.4,-0.1
